Zona	Condominio	Unidad	Piso	Tipo
Aldea Zama	Town Center	T4 #205	Segundo Piso	Departamento
Tumben kaa	Tulix	casa #25	Planta baja	Casa
Tumben kaa	Tulix	Casa #7 sin muebles	Planta baja	Casa
Tumben kaa	Tulix	Casa #8	Planta baja	Casa
Holistika	Amar Tulum	202	Primer Piso	Departamento
Region 15	Casa Arroqueño	-	Planta baja	Casa
Aldea Zama	Casa Alia	-	Planta baja	Casa
Region 15	Villa Niburu	-	Planta baja	Villa
Aldea Zama	Local Anemona	#1	Tercer Piso	Local Comercial
Aldea Zama	Local Anemona	#2	Tercer Piso	Local Comercial
Aldea Zama	Xalet Luxury	A402	Tercer Piso	PentHouse
La Veleta	Cacao 	B205	Primer Piso	Studio
La Veleta	Naia Naay	H205	Primer Piso	Departamento
Region 15	Mistiq Villas	7	Planta baja	Villa
Region 15	Mistiq Temple ll	A206	Primer Piso	PentHouse
Region 15	Mistiq Gardens I	103	Primer Piso	Studio
Av coba	Edena by tao	116	Planta baja	Casa
Av coba	Edena by tao	58	Planta baja	Casa
Aldea Zama	Elle Residences	203	Primer Piso	Studio
Region 15	Mistiq Gardens I	9	Planta baja	Loft
Centro	Mun Tulum	33	Planta baja	Casa
Region 15	Mistiq Gardens I	16	Planta baja	Loft
La Veleta	Xiimbal	35 (sin muebles)	Segundo Piso	PentHouse
Region 8	Botanic	311	Segundo Piso	Departamento
Region 12	Aldea Savia F1	R23	Primer Piso	Departamento
Region 12	Nativa Tulum	#2304	Segundo Piso	Studio
Bahia Principe	Anah Suites	A4	Planta baja	Departamento
Kukulkan	Blue Luxury kukulkan	102 F	Primer Piso	Departamento
Kukulkan	Blue Luxury kukulkan	201 F	Segundo Piso	Departamento
Centro	Tuk Tulum	Agua 113	Primer Piso	Studio
La Veleta	Zona Nove	Casa Pitahaya	Planta baja	Casa
Region 15	Mistiq Gardens ll 	1	Planta baja	Loft
Region 15	Mistiq Gardens ll 	11	Planta baja	Loft
Region 15	Mistiq Gardens ll 	13	Planta baja	Loft
Tumben kaa	Xunik	T1 #101(sin muebles)	Planta baja	Studio
Tumben kaa	Xunik 	T1 #301(sin muebles)	Primer Piso	Studio
Tumben kaa	Xunik	T3 #201(sin muebles)	Primer Piso	Studio
Tumben kaa	Xunik	T3 #305(sin muebles)	Segundo Piso	Departamento
Tumben kaa	Xunik	T5 #102(sin muebles)	Planta baja	Studio
Tumben kaa	Xunik 	T4 #203(sin muebles)	Primer Piso	Departamento
Tumben kaa	Xunik 	T4 #303(sin muebles)	Segundo Piso	Departamento
La Veleta	Sky Tulum	S-003	Planta baja	Departamento
Aldea Zama	Azara	#306	Segundo Piso	Departamento
La Veleta	Casa Santiago	#1 (3 disponibles)	Primer Piso	Studio
Aldea Zama	Brava Towers 	308	Segundo Piso	Departamento
Aldea Zama	Town Center	T1 #104	Primer Piso	Departamento
Kukulkan	Mistiq Tulum 	E102	Planta baja	Studio
Kukulkan	Mistiq Tulum	G204	Planta baja	Departamento
Centro	Nadet	#31	Primer Piso	Departamento
Centro	Nadet	#33	Primer Piso	Departamento
Centro	Nadet	#34	Primer Piso	Departamento
Centro	Nadet	#35	Primer Piso	Departamento
Aldea Zama	Tao	119	Planta baja	Departamento
La Veleta	Saasil 	15	Primer Piso	Departamento
La Veleta	Villa Lool 	1,2,3	Planta baja	Studio
La Veleta	Villa Lool 	#1	Planta baja	Departamento
				Studio
				Studio
				Studio
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
				
