Disponible	Zona	Condominio	Unidad	Piso	Tipo	Recámaras 	Baños
No Disponible	Aldea Zama	Paramar Viva	130	Primer Piso	Departamento	1	1
No Disponible	Kukulkan	Adora	H4	Primer Piso	Studio	0	1
No Disponible	Aldea Zama	Quinto Sol	21	Segundo Piso	Departamento	1	1
No Disponible	La Veleta	Condos Ocho	C1	Planta baja	Departamento	1	1
No Disponible	Aldea Zama	Ophelia	302	Segundo Piso	Departamento	1	1
No Disponible	Kukulkan	Adora	H1	Primer Piso	Studio	0	1
No Disponible	Kukulkan	Adora	H2	Primer Piso	Studio	0	1
No Disponible	Kukulkan	Adora	H16	Primer Piso	Studio	0	1
No Disponible	Kukulkan	Adora	H17	Primer Piso	Studio	0	1
No Disponible	Kukulkan	Adora	H19	Primer Piso	Studio	0	1
No Disponible	Selva Norte	Kayum 	104	Planta baja	Departamento	2	2
No Disponible	Region 15	Casa Laguna	308	Segundo Piso	Departamento	1	1
No Disponible	Region 15	Casa Laguna	206	Primer Piso	Departamento	1	1
No Disponible	Kukulkan	Naia Tulum	B31	PenThouse	PentHouse	1	2
No Disponible	La Veleta	Halaken	PB4	Planta baja	Departamento	1	1
No Disponible	Aldea Zama	Paramar Viva	108	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Surya	A2 	Planta baja	Departamento	1	1
No Disponible	Aldea Zama	Miraluna	224	Segundo Piso	Studio	0	1
No Disponible	Kukulkan	Waves	C313	Segundo Piso	Studio	0	1
No Disponible	Aldea Zama	Aflora	211	Segundo Piso	Studio	0	1
No Disponible	La Veleta	Sands Tulum	6	Planta baja	Departamento	2	2.5
No Disponible	La Veleta	Coco Village	A1	Planta baja	Departamento	2	2
No Disponible	La Veleta	Coco Village	A3	Tercer Piso	Departamento	2	2
No Disponible	La Veleta	Coco Village	C2	Segundo Piso	Departamento	2	2
No Disponible	Aldea Zama	Chen Luum	102	Planta baja	Departamento	1	1
No Disponible	La Veleta	Coco Village	D2	Segundo Piso	Departamento	2	2
No Disponible	La Veleta	Cacao	D201	Primer Piso	Departamento	1	2
No Disponible	Region 15	Mistiq Temple II	B112	Planta baja	Loft	1	1
No Disponible	Tumben kaa	Luz Tulum	B301	Segundo Piso	Departamento	2	2
No Disponible	La Veleta	Casa Rosi	-		Casa	2	2
No Disponible	Region 15	Zizal	106	Planta baja	Departamento	1	1
No Disponible	La Veleta	Casa Chehchen	casa rolis	Planta baja	Casa	1	1
No Disponible	Aldea Zama	Mareas Condo	2B	Primer Piso	Departamento	2	2
No Disponible	Aldea Zama	Paramar Viva	103	Primer Piso	Departamento	1	1
No Disponible	Region 15	Mistiq Temple I	B105	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq Temple I	C108	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq Temple ll	A102	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq Temple ll	A109	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq Temple ll	C102	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq Gardens ll 	11	Planta baja	Loft	1	1
No Disponible	Aldea Zama	Aflora	309	Primer Piso	Studio	0	1
No Disponible	Aldea Zama	Zama Tower	302	Segundo Piso	Departamento	1	1
No Disponible	Kukulkan	La coordenada perfecta	4	Planta baja	Loft	2	2
No Disponible	La Veleta	Cacao	C301	Segundo Piso	Departamento	1	1
No Disponible	Aldea Zama	Alma de Flores	208	Primer Piso	Departamento	2	1
No Disponible	Region 12	Aldea Savia F2	R44	PenThouse	PentHouse	2	2
No Disponible	Region 15	Mistiq Temple I	B202	Segundo Piso	Studio	0	1
No Disponible	Aldea Zama	Macondo	101 serv incl	Planta baja	Departamento	2	1
No Disponible	Aldea Zama	Oceano	8	PenThouse	PentHouse	1	2
No Disponible	La Veleta	Baay	8	Segundo Piso	Departamento	2	2
No Disponible	Region 15	Mistiq Gardens I	7	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq Gardens ll	31	Planta baja	Loft	1	1
No Disponible	Villas Tulum	Paraiso Chaak 	10	Primer Piso	Departamento	2	2
No Disponible	La Veleta	Baay	2	Planta baja	Departamento	2	2
No Disponible	Region 15	Mistiq Temple ll	A101	Planta baja	Loft	1	1
No Disponible	La Veleta	Rio de Plata	Casa 1	Planta baja	Casa	1	2
No Disponible	Region 12	Aldea Savia	PH 333	PenThouse	PentHouse	1	1
No Disponible	Aldea Zama	Zama 120	3	Primer Piso	Departamento	2	2
No Disponible	Aldea Zama	Akua Reserve	34	Primer Piso	Departamento	1	1
No Disponible	Aldea Zama	Vientos Tulum	2	Primer Piso	Departamento	2	1
No Disponible	Region 15	Casa Laguna	101	Planta baja	Departamento	2	1
No Disponible	Aldea Zama	Paramar Viva	118	Primer Piso	Departamento	1	1
No Disponible	La Veleta	Naab	A201	Primer Piso	Departamento	2	2
No Disponible	Aldea Zama	Tao 	204	Segundo Piso	Departamento	2	2
No Disponible	La Veleta	Xiimbal 	7	Planta baja	Loft	1	1.5
No Disponible	Aldea Zama	Quinto Sol	17	Primer Piso	Departamento	2	2
No Disponible	Region 15	Mistiq Gardens I	23	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq Gardens I	24	Planta baja	Loft	1	1
No Disponible	La Veleta	Sands Tulum	1	Planta baja	Departamento	2	2.5
No Disponible	La Veleta	Sands Tulum	3	Planta baja	Departamento	2	2.5
No Disponible	La Veleta	Sands Tulum	4	Planta baja	Departamento	2	2.5
No Disponible	La Veleta	Sands Tulum	5	Planta baja	Departamento	2	2.5
No Disponible	Region 12	Aldea Savia	R25	PenThouse	PentHouse	2	2
No Disponible	La Veleta	Condos Ocho	B6	PenThouse	PentHouse	2	2
No Disponible	Riviera Tulum	Residencial		Planta baja	Departamento	2	2
No Disponible	Region 15	Mistiq Temple I	B109	Planta baja	Loft	1	1
No Disponible	Aldea Zama	Ophelia 	105	Planta baja	Departamento	1	1
No Disponible	Av coba	Edena by Tao	73 sin muebles	Planta baja	Casa	2	2
No Disponible	Region 15	Mistiq Gardens II	303	Segundo Piso	Departamento	2	2
No Disponible	La Veleta	Coco Village	B2	Primer Piso	Departamento	2	2
No Disponible	Region 15	Angelique	304	PenThouse	PentHouse	2	2
No Disponible	Centro	Kiimak	1	Planta baja	Departamento	2	1
No Disponible	Aldea Zama	Artia	106	Planta baja	Departamento	2	2
No Disponible	Region 15	Mistiq Temple I	C111	Planta baja	Loft	1	1
No Disponible	La Veleta	Zona Nove	Casa Pitahaya	Planta baja	Casa	2	2
No Disponible	Region 15	Mistiq Gardens ll 	1	Planta baja	Loft	1	1
No Disponible	Riviera Tulum	Aldea Ka an		Planta baja	Departamento	2	2
No Disponible	Aldea Zama	Alma de Flores	108	Planta baja	Departamento	1	1
No Disponible	Aldea Zama	Kuukum 	105	Planta baja	Departamento	2	2
No Disponible	Region 12	Aldea Savia	206	Primer Piso	Departamento	2	1
No Disponible	Region 12	Aldea Savia F2	G56	Planta baja	Departamento	2	2
No Disponible	Aldea Zama	Xalet Luxury	A402	Tercer Piso	PentHouse	1	1
No Disponible	Region 12	Aldea Savia F2	G55	Planta baja	Departamento	2	2
No Disponible	Kukulkan	Adora	301	Segundo Piso	Studio	0	1
No Disponible	Kukulkan	Adora	411	PenThouse	studio PH	0	1
No Disponible	La Veleta	Condos Ocho	D2	PenThouse	PentHouse	1	1
No Disponible	Tumben kaa	Luz Tulum	302	Segundo Piso	Departamento	2	2
No Disponible	La Veleta	Xintok	1002	Planta baja	Departamento	1	1
No Disponible	La Veleta	Elementus 	d1	Segundo Piso	Departamento	2	3
No Disponible	La Veleta	Elementus 	b3	Primer Piso	Departamento	2	2
No Disponible	La Veleta	Elementus 	j3	Primer Piso	Departamento	2	2
No Disponible	Selva Norte	Hibisco 	204	Primer Piso	Departamento	2	2
No Disponible	Av coba	Edena by Tao	48	Planta baja	Casa	2	2
No Disponible	Aldea Zama	Paramar Black	14	Planta baja	Departamento	1	1
No Disponible	Region 15	Mistiq Temple I	B111	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq Temple ll	A112	Planta baja	Loft	1	1
No Disponible	Centro	Tuk tulum	Agua 102 (falta enlistar)	Primer Piso	Departamento	1	1
No Disponible	Region 12	Aldea Savia F1	 R49	PenThouse	PentHouse	2	2
No Disponible	Villas Tulum	Homes	101	Planta baja	Departamento	2	2.5
No Disponible	Aldea Zama	Paramar Viva	10	Planta baja	Departamento	1	1
No Disponible	La Veleta	El Nido	104	Planta baja	Departamento	1	1
No Disponible	Riviera Tulum	Anayansi	3	Segundo Piso	Departamento	2	2
No Disponible	Aldea Zama	Ik Zama	4	Primer Piso	Departamento	2	2
No Disponible	La Veleta	Heaven	C	Planta baja	Departamento	2	2
No Disponible	La Veleta	Palalma Tierra	4	Planta baja	Departamento	1	1
No Disponible	Aldea Zama	Brava Towers 	303	Tercer Piso	Departamento	2	2
No Disponible	Aldea Zama	Zama Tower	207	Segundo Piso	Departamento	2	3
No Disponible	Av coba	Edena by Tao	57	Planta baja	Casa	2	2
No Disponible	La Veleta	Lool Village		Planta baja	Villa	1	1
No Disponible	Region 12	Aldea Savia F1	DR14	Primer Piso	Departamento	2	2
No Disponible	Region 15	Mistiq Gardens II	15	Planta baja	Loft	1	1
No Disponible	La Veleta	Boni Gardens	4	Primer Piso	Loft	2	2
No Disponible	Aldea Zama	Zama Tower	304	Segundo Piso	Departamento	2	2
No Disponible	Region 15	Entorno Tulum	Villa 5	Planta baja	Villa	2	2
No Disponible	La Veleta	Kaatal Oox	7	Planta baja	Villa	2	2
No Disponible	La Veleta	Selva Tulum	B1	Primer Piso	Departamento	2	3
No Disponible	La Veleta	Surya 	PH3	PenThouse	PentHouse	2	1
No Disponible	Aldea Zama	Bungalows village	218	Primer Piso	Departamento	2	2
No Disponible	Aldea Zama	Bungalows village	225	Primer Piso	Departamento	2	2
No Disponible	Aldea Zama	Bonita Love and Explore	1	Planta baja	Departamento	2	2
No Disponible	Aldea Zama	Ik Zama	3	Planta baja	Departamento	2	2
No Disponible	Region 15	Mistiq Temple I	C106	Planta baja	Loft	1	1
No Disponible	Selva Norte	Selva Norte	Nikte 101	Planta baja	Departamento	2	2
No Disponible	Yax-Kin	Xun Kari	-	Planta baja	Casa	3	3
No Disponible	Region 15	Mistiq Temple I	A212	PenThouse	PentHouse	1	1
No Disponible	La Veleta	La Veleta Luxury	4	Primer Piso	Departamento	2	2
No Disponible	La Veleta	La Veleta Luxury	8	Segundo Piso	Departamento	2	2
No Disponible	La Veleta	La Veleta Luxury	9	Segundo Piso	Departamento	2	2
No Disponible	Aldea Zama	Querido Tulum	102	Planta baja	Departamento	2	1.5
No Disponible	Aldea Zama	Artia	221	Primer Piso	Departamento	2	2
No Disponible	Aldea Zama	Luxury Apartment 	Crypto	Primer Piso	Departamento	2	2
No Disponible	Av coba	Edena by TAO	54	Planta baja	Casa	3	3
No Disponible	Aldea Zama	Loft Andador Kaan	2	Segundo Piso	Loft	2	2
No Disponible	Aldea Zama	Loft Andador Kaan	1	Segundo Piso	Loft	2	2
No Disponible	Aldea Zama	Town Center	103	Segundo Piso	Departamento	2	2
No Disponible	Bahia Principe	Anah Village	B2	Planta baja	Departamento	2	2.5
No Disponible	La Veleta	Coco Village	C3	PenThouse	PentHouse	3	3
No Disponible	Aldea Zama	Brava Towers 	410	PenThouse	PentHouse	3	3
No Disponible	Region 15	Mistiq Temple II	B110	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq Temple II	B111	Planta baja	Loft	1	1
No Disponible	Centro	Samsara	F226	Segundo Piso	Departamento	2	2
No Disponible	Yax-Kin	Casa Privada	-	Planta baja	Casa	1	1
No Disponible	Aldea Zama	Ophelia 	310	Primer Piso	Departamento	2	2
No Disponible	Riviera Tulum	Casa Paradise	-	Planta baja	Casa	2	2
No Disponible	Region 15	Mistiq Gardens I	11	Planta baja	Loft	1	1
No Disponible	Kukulkan	Mistiq Tulum	F202	Primer Piso	Studio	0	1
No Disponible	Av coba	Edena by Tao	61	Planta baja	Casa	2	2
No Disponible	Limas	Limas Tulum	401	Planta baja	Departamento	2	2
No Disponible	Holistika	Ahal 3	1	Primer Piso	Departamento	2	2
No Disponible	Region 15	Atman Residences	131	Planta baja	Villa	2	2.5
No Disponible	Region 15	Mistiq Temple I	C104	Planta baja	Loft	1	1
No Disponible	La Veleta	Maia	107	Primer Piso	Departamento	2	2.5
No Disponible	Region 15	Mistiq Temple I	A114	Planta baja	Loft	1	1
No Disponible	Region 15	Mistiq gardens I	5	Primer Piso	Loft	1	1
No Disponible	Region 15	mistiq gardens I	32	Primer Piso	Loft	1	1
No Disponible	Region 15	Mistiq Gardens I	16	Planta baja	Loft	1	1
No Disponible	Kukulkan	Adora	302	Segundo Piso	Studio	0	1
No Disponible	Region 12	Aldea Savia F1	G34	Planta baja	Departamento	2	2
No Disponible	La Veleta	Tzunum 	2	PenThouse	PentHouse	2	2
No Disponible	Av coba	Edena by TAO	47	Planta baja	Casa	2	2
No Disponible	Av coba	Edena by Tao	51	Planta baja	Casa	2	2
No Disponible	Aldea Zama	Miraluna	221	Primer Piso	Studio	0	1
No Disponible	La Veleta	Sky Tulum	2	Planta baja	Departamento	2	2
No Disponible	Aldea Zama	Querido Tulum	103	Planta baja	Departamento	2	2.5
No Disponible	Riviera Tulum	Riviera Tulum		Planta baja	Casa	2	2
No Disponible	Region 11	Casa Coral	-	Planta baja	Casa	3	3.5
No Disponible	Aldea Zama	Azara	308	PenThouse	PentHouse	2	2
No Disponible	Cenote Caracol	Casa Aneli	-	Planta baja	Casa	3	3.5
No Disponible	Region 15	Entorno Tulum	Villa 10	Planta baja	Villa	2	2
No Disponible	Aldea Zama	Artia	103		Departamento	2	2
No Disponible	La Veleta	Cacao	A302	PenThouse	PentHouse	2	3
No Disponible	km 8 Tulum/Coba	Casa Arekas	-	Planta baja	Casa	2	2
No Disponible	Holistika	Amar Tulum	301	Planta baja	Departamento	2	2.5
No Disponible	La Veleta	Baay	1	Planta baja	Departamento	3	2
No Disponible	Av coba	Edena by tao	86	Planta baja	Casa	3	2
No Disponible	Av coba	Edena by Tao	111	Planta baja	Casa	2	2
No Disponible	Aldea Zama	Ik Zama	7	Planta baja	Departamento	2	2
No Disponible	Aldea Zama	Paramar Viva	207	Segundo Piso	Departamento	2	2
No Disponible	Aldea Zama	Quinto Sol	20	Segundo Piso	Departamento	2	2
No Disponible	Aldea Zama	Tao 	304	PenThouse	PentHouse	2	2
No Disponible	Aldea Zama	Kuukum	104	PenThouse	PentHouse	2	4
No Disponible	Aldea Zama	Carmela 	303	PenThouse	PentHouse	2	2.5
No Disponible	Zona hotelera 	Local comercial 	-	Planta baja	Local Comercial	-	-
No Disponible	Playa Del Carmen	Allegranza	67	Planta baja	Casa	3	3.5
No Disponible	Centro	Tuk Tulum	Fuego 203	Segundo Piso	Departamento	2	2
No Disponible	Aldea Zama	Paramar VE	102	Primer Piso	Departamento	2	2
No Disponible	Zona hotelera 	Amira District	B302	Segundo Piso	Departamento	2	2
No Disponible	Region 15	Mistiq Temple II	A114	Planta baja	Loft	1	1
No Disponible	Av coba	Edena by Tao	88	Planta baja	Casa	3	3
No Disponible	Kukulkan	Blue Luxury Kukulkan	PH A	Cuarto Piso	PentHouse	2	2
No Disponible	Bahia Principe	Anah suites	A14	Primer Piso	Departamento	2	2
No Disponible	Holistika	Amar Tulum	LUNA 402	Primer Piso	Departamento	2	2.5
No Disponible	Holistika	Amar Tulum	401	Planta baja	Departamento	2	2.5
No Disponible	Aldea Zama	Azara	201	Primer Piso	Departamento	2	2
No Disponible	Region 15	Atman Residences	117	Planta baja	Villa	2	2.5
No Disponible	Region 15	Atman Residences	118	Planta baja	Villa	2	2.5
No Disponible	Aldea Zama	Zambo - Luum zama	101	Planta baja	Departamento	2	2
No Disponible	Region 15	Mistiq Temple I	C114	Planta baja	Loft	1	1
No Disponible	Aldea Zama	Paramar Viva	213	Segundo Piso	Departamento	2	2
No Disponible	Riviera Tulum	Casa Melodia	-	Planta baja	Casa	3	3
No Disponible	Kukulkan	Adora	209	Primer Piso	Departamento	2	2
No Disponible	Centro	Tuk Tulum	Agua 112	Primer Piso	Departamento	2	2
No Disponible	Muyil	Casa Ana	-	Planta baja	Casa	3	3
No Disponible	Kukulkan	Adora	102	Planta baja	Departamento	2	2
No Disponible	Region 15	Entorno Tulum	Villa 6	Planta baja	Villa	3	3
No Disponible	Region 12	Aldea Savia	C23	Planta baja	Casa	3	2.5
No Disponible	Aldea Zama	Itza 1	102	Planta baja	Departamento	2	2
No Disponible	Riviera Tulum	Casa Lili	-	Planta baja	Casa	3	3
No Disponible	Holistika	Amar Tulum	Luna 403	PenThouse	PentHouse	2	3.5
No Disponible	La Veleta	Casa Veleta Flores	-	Planta baja	Casa	3	2
No Disponible	Riviera Tulum	Casa Nance	-	Planta baja	Casa	4	3
No Disponible	Kukulkan	Adora	107	Planta baja	Departamento	2	2
No Disponible	La Veleta	Casa en La Veleta	-	Planta baja	Casa	2	2.5
No Disponible	Aldea Zama	Brava Towers 	412	PenThouse	PentHouse	3	3
No Disponible	Aldea Zama	Mirak		PenThouse	PentHouse	2	2
No Disponible	La Veleta	Edificio Zoe 			Edificio	3	3
No Disponible	Kukulkan	Adora	101	Planta baja	Departamento	2	2
No Disponible	Aldea Zama	Kune	207	Primer Piso	Departamento	3	2
No Disponible	Kukulkan	Blue Luxury Kukulkan	PH E	PenThouse	PentHouse	2	2
No Disponible	Region 15	Mistiq Temple I	-	Planta baja	Restaurante	1	1
No Disponible	Limas	Limas Tulum	303	Planta baja	Departamento	2	2.5
No Disponible	Holistika	Amar Tulum	Alma 103	PenThouse	PentHouse	2	2
No Disponible	Aldea Zama	Bonita Love And Explore	8	Tercer Piso	PentHouse	2	2
No Disponible	Aldea Zama	Sanctuary Residence	201	Primer Piso	Departamento	3	3
No Disponible	Aldea Zama	Paramar Viva	203	Segundo Piso	Departamento	3	2
No Disponible	Region 12	Casa Toh (Surenna)	-	Planta baja	Casa	3	3.5
No Disponible	Kukulkan	Mistiq Tulum	H104	Planta baja	Departamento	2	2
No Disponible	Holistika	Amar Tulum	Cielo 303	PenThouse	PentHouse	2	4
No Disponible	Aldea Zama	Origen Jungle	1D	Planta baja	Departamento	2	2
No Disponible	La Veleta	Villa Vidrio	-	Planta baja	Casa	2	2
No Disponible	Riviera Tulum	Ware House Black		Planta baja	Casa	2	3
No Disponible	Riviera Tulum	Riviera	23	Planta baja	Casa	3	3
No Disponible	Holistika	Casa Mono 	-	Planta baja	Casa	2	2
No Disponible	La Veleta	Casa Veleta 6BR	-	Planta baja	Casa	6	7
No Disponible	La Veleta	Villa sam		Planta baja	Villa	2	3
No Disponible	La Veleta	Panoramic	PH6C	PenThouse	PentHouse	2	2
No Disponible	Aldea Zama	Chen	302	Tercer Piso	Departamento	2	2.5
No Disponible	Aldea Zama	Chen	301	Tercer Piso	Departamento	3	3.5
No Disponible	Mun Tulum	Mun Townhouse	8	Planta baja	TownHouse	4	4.5
No Disponible	Aldea Zama	Casa Natura	201	Primer Piso	Departamento	2	2.5
No Disponible	Aldea Zama	Casa Natura	204	Primer Piso	Departamento	2	2.5
No Disponible	Holistika	Amar Tulum	Muuka 		Departamento	2	2
No Disponible	Region 15	Mistiq Villas	14	Planta baja	Departamento	3	3
No Disponible	Tumben kaa	Casa Lagunas	-	Planta baja	Casa	4	3.5
No Disponible	Kukulkan	Mistiq Tulum	G101	Planta baja	Departamento	2	2.5
No Disponible	Aldea Zama	Aru Tulum	102	Planta baja	Departamento	3	2
No Disponible	Kukulkan	Mistiq Tulum	C304	Segundo Piso	Departamento	2	2
No Disponible	Kukulkan	Mistiq Tulum	C303		PentHouse	2	2
No Disponible	Mun Tulum	Mun Townhouse	17	Planta baja	TownHouse	3	5
No Disponible	La Veleta	Cuatro Cielos Tulum	Villa Marina	Planta baja	Villa	2	2
No Disponible	Region 15	Mistiq Villas 	2	Planta baja	Villa	3	3
No Disponible	La Veleta	Asana 	3	Planta baja	Casa	4	4
No Disponible	Riviera Tulum	Casa Marta	-	Planta baja	Casa	4	4
No Disponible	La Veleta	Smart Depas 	C310	PenThouse	PentHouse	5	4
No Disponible	Aldea Zama	Chen	203	Segundo Piso	Departamento	3	3.5
No Disponible	Zona hotelera 	Local comercial 		Planta baja	Local Comercial	2	
No Disponible	Aldea Zama	Chen	101	Primer Piso	Departamento	3	3.5
No Disponible	Akumal	Piedra de mar	4	Primer Piso	Departamento	3	2
No Disponible	Akumal	Villa Tao		Planta baja	Villa	3	3
No Disponible	Bahia Principe	Condominio Baalam	-	Planta baja	Casa	3	3
No Disponible	La Veleta	Casa privada en la veleta	-	Planta baja	Casa	3	2
No Disponible	Aldea Zama	Ophelia 	317	PenThouse	PentHouse	4	4
No Disponible	Kukulkan	Mistiq Tulum	C301	PenThouse	PentHouse	2	2
No Disponible	Region 15	Mistiq Villas	28	Planta baja	Villa	3	3.5
No Disponible	Region 15	Atia	5	Planta baja	Casa	3	4
No Disponible	Region 15	Mistiq Temple I	B306	Tercer Piso	Departamento	2	2.5
No Disponible	Mun Tulum	Mun Townhouse	3	Planta baja	TownHouse	3	5
No Disponible	Mun Tulum	Mun Townhouse	7	Planta baja	TownHouse	3	5
No Disponible	Mun Tulum	Mun Townhouse	20	Planta baja	TownHouse	3	5
No Disponible	Mun Tulum	Mun Townhouse	31	Planta baja	TownHouse	3	5
No Disponible	Region 15	Mistiq Temple I	A306	Segundo Piso	Departamento	2	3
No Disponible	La Veleta	Oasis Yaaxlum	401	PenThouse	PentHouse	2	4
No Disponible	Region 15	Mistiq Gardens I	307	PenThouse	PentHouse	3	3
No Disponible	Region 15	Mistiq Villas	29	Planta baja	Villa	3	3
No Disponible	Region 15	Mistiq Temple I	#A303	PenThouse	PentHouse	2	2
No Disponible	Tumben kaa	Casa Venado	-	Planta baja	Casa	3	5
No Disponible	Region 15	Mistiq Gardens I	213	PenThouse	PentHouse	3	3
No Disponible	Zona hotelera 	Habitaciones	-	Primer Piso	Departamento	6	6
No Disponible	Holistika	Ahal 1	A103	Planta baja	Departamento	3	3
No Disponible	Region 15	Mistiq Temple II	B404	PenThouse	PentHouse	2	2
No Disponible	Aldea Zama	Casa Melón	-	Planta baja	Casa	3	3
No Disponible	Av coba	Bo's Home		Planta baja	Casa	4	3.5
No Disponible	La Veleta	Casa 4 Recamaras	CA	Planta baja	Casa	4	3
No Disponible	Tumben kaa	Villa Tumben Kaa		Planta baja	Villa	4	4
No Disponible	La Veleta	Condo Los amigos 3	-	Planta baja	Departamento	5	5
No Disponible	Aldea Zama	Miraluna	241	Primer Piso	Departamento	2	2
No Disponible	Kukulkan	Adora	103	Planta baja	Departamento	3	3.5
No Disponible	Kukulkan	Mistiq Tulum	A301	PenThouse	PentHouse	3	3
No Disponible	Region 15	Mistiq Temple II	A402	PenThouse	PentHouse	3	3
No Disponible	Aldea Zama	Miraluna	111	Planta baja	Departamento	2	2
No Disponible	Aldea Zama	Casa Yaax	-	Planta baja	Villa	4	4.5
No Disponible	Region 15	Mistiq Temple II	A401	PenThouse	PentHouse	3	3
No Disponible	Aldea Zama	Miraluna	323	PenThouse	PentHouse	3	4.5
No Disponible	Aldea Zama	Miraluna	324	PenThouse	PentHouse	3	4.5
No Disponible	Zona hotelera 	Restaurant 	-	Planta baja	Local Comercial	-	-
No Disponible	Centro	Hostal Tzunum		Planta baja	Local Comercial	44	
No Disponible	Region 15	Kanta 	2	Planta baja	Villa	3	3
No Disponible	Region 15	Villa Niburu	-	Planta baja	Villa	4	4.5
No Disponible	Kukulkan	Adora	Villa 2	Planta baja	Casa	5	4
					Departamento		
					Departamento		
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
