"id","name","description","address","zone","total_units","is_active","created_at"
"e0aa1d9c-07f5-4f50-b0f2-1e04a35ac94c","Chen Luum","","","","1","true","2025-11-24T23:56:08.688Z"
"08613a4e-482e-43f1-99ea-852547529b96","Coati","","","","1","true","2025-11-24T23:56:08.800Z"
"2a44469d-14a1-458d-b992-99aac1a68fc3","Coba Ii","","","","1","true","2025-11-24T23:56:08.913Z"
"39d6ad19-5ca8-414e-ae79-70739da80773","Coco Village","","","","8","true","2025-11-24T23:56:09.026Z"
"a69d77c7-70bb-4e2d-978c-95193128fa23","Condo Los Amigos 3","","","","1","true","2025-11-24T23:56:09.138Z"
"eef6f68a-c315-4556-b288-c12f2fc8f919","Condominio Baalam","","","","1","true","2025-11-24T23:56:09.249Z"
"2a132ebc-c73a-490d-9b27-7fbe2a22cbe5","Condos Che 721","","","","1","true","2025-11-24T23:56:09.360Z"
"281e339f-4fb8-4ff6-ae7e-a557f96c48d7","Condos Ocho","","","","6","true","2025-11-24T23:56:09.472Z"
"faba4447-88ca-4b2d-9c2e-02212dbe74b3","Copal","","","","1","true","2025-11-24T23:56:09.589Z"
"f86bc359-0964-4826-b980-3c1a1c6265a8","Cordelia","","","","2","true","2025-11-24T23:56:09.701Z"
"9387a4ef-6494-46b2-ae75-27d3bbd69e0a","Cuatro Cielos Tulum","","","","3","true","2025-11-24T23:56:09.814Z"
"dd73423f-0723-478e-b152-43b440db28e6","Distrito La Selva","","","","2","true","2025-11-24T23:56:09.926Z"
"a0951b9f-3c4c-4090-ae0e-3e37dee2bd69","Dk Tulum","","","","5","true","2025-11-24T23:56:10.040Z"
"750f8b80-b4ac-4ed6-a8bd-08fc5ac0a906","Downtown","","","","3","true","2025-11-24T23:56:10.153Z"
"ba0bed8e-914b-4748-b050-aa325c4cc81a","Edena by TAO","","","","19","true","2025-11-24T23:56:10.267Z"
"d8c6de23-0ebd-4fc5-aba5-6997db0925fa","Edificio Baay","","","","1","true","2025-11-24T23:56:10.388Z"
"507ce173-816a-4c7c-8ce0-3baf7b4794b3","Edificio Baha","","","","1","true","2025-11-24T23:56:10.500Z"
"a75c2d11-35b9-43e0-baaf-5ece3234fd24","Edificio Jabali","","","","5","true","2025-11-24T23:56:10.613Z"
"f1f43827-eaff-4f48-8f33-daaefc7d9a60","Edificio Zoe","","","","1","true","2025-11-24T23:56:10.725Z"
"dbb016f7-be90-4b87-810f-d63c0fc19e83","El Nido","","","","1","true","2025-11-24T23:56:10.839Z"
"bc5be6dd-03c1-4d43-9037-dd5060f410c4","Elementus","","","","3","true","2025-11-24T23:56:10.950Z"
"32503b70-8e0a-4105-b4c6-73b2b054108c","Elle Residences","","","","1","true","2025-11-24T23:56:11.062Z"
"1cb7180f-61ca-4d0e-adfc-452c360095ec","Entorno Tulum","","","","3","true","2025-11-24T23:56:11.173Z"
"434efce8-75d3-4a80-9d64-dcc791bd6ed7","Erena","","","","8","true","2025-11-24T23:56:11.284Z"
"558784f7-8949-4215-83fb-ca3a6c8c9b12","Estela Tulum","","","","5","true","2025-11-24T23:56:11.395Z"
"392997d4-f4b5-4d5d-8c9a-3ed3a74b55ee","Estudio En Renta","","","","1","true","2025-11-24T23:56:11.507Z"
"ad90ebca-c2da-4305-ba3f-45602ab02f26","Etnica Ku","","","","1","true","2025-11-24T23:56:11.620Z"
"a1421160-b2ce-41b1-923d-eb48799884d0","Eve Residences","","","","1","true","2025-11-24T23:56:11.744Z"
"c744987b-557a-4917-90c7-09fef2c05925","G. Sirenis Ed. La Selva","","","","1","true","2025-11-24T23:56:11.855Z"
"55a8184a-3211-4f46-a3d5-1f294b2218dc","Gaia","","","","1","true","2025-11-24T23:56:11.967Z"
"094699f0-dca6-46be-98f6-e3dd41036a50","Gardens by Coba","","","","5","true","2025-11-24T23:56:12.097Z"
"d4d8996a-02d1-4461-b67b-658f1a8dc1b9","Gautama","","","","1","true","2025-11-24T23:56:12.209Z"
"890aefbc-da47-48e9-979c-e873db554c22","Green Oasis","","","","1","true","2025-11-24T23:56:12.320Z"
"b3335d37-012b-446f-876e-fe3bf6daafcc","Habitaciones","","","","1","true","2025-11-24T23:56:12.432Z"
"e750f24a-e2de-4762-9fb6-eeae93d50a00","Hacienda Tuuk Torre Yah","","","","1","true","2025-11-24T23:56:12.544Z"
"c98aba27-7458-4b27-97a2-278399bb6711","Halaken","","","","1","true","2025-11-24T23:56:12.655Z"
"a4eebbb4-ed0b-4cb3-9021-91ca00c0e014","Heaven","","","","3","true","2025-11-24T23:56:12.768Z"
"5479d66b-883e-48a1-816e-e717a5938d0d","Heavens Lagoon","","","","6","true","2025-11-24T23:56:12.881Z"
"d75c7d48-b7b3-4784-9e21-b485b0fe18d0","Hibisco","","","","1","true","2025-11-24T23:56:12.992Z"
"68ba3029-c9ab-4176-9de5-534e65deef0a","Homes","","","","5","true","2025-11-24T23:56:13.104Z"
"72f32854-9b76-4fab-a47d-c3dabdb1b6a7","Hostal Tzunum","","","","1","true","2025-11-24T23:56:13.217Z"
"288021bb-6fe0-48a5-8736-b15755ef7c79","Hotel Kassia","","","","1","true","2025-11-24T23:56:13.330Z"
"a531578d-7751-4071-a7dc-9a553f46a2a0","Humana","","","","1","true","2025-11-24T23:56:13.442Z"
"b380722a-d813-4aa5-b9ba-f65bb08ace59","Ik Zama","","","","5","true","2025-11-24T23:56:13.554Z"
"dc6b79b1-5448-43b1-93ae-43f1c9104483","Itza 1","","","","1","true","2025-11-24T23:56:13.667Z"
"53288093-f405-4873-b5f1-34b83497fc66","Jabali","","","","1","true","2025-11-24T23:56:13.779Z"
"2217c76a-18a5-493f-ba3f-c62b0e8fc919","Jade","","","","2","true","2025-11-24T23:56:13.891Z"
"c689f61d-5ca2-406b-944f-863e6f160b54","Jungle Chic","","","","1","true","2025-11-24T23:56:14.003Z"
"8c062907-6658-4f2c-8c52-d9e5a8ca4962","Jungle Paradise","","","","1","true","2025-11-24T23:56:14.115Z"
"2f233816-c5a1-4431-88ed-44964a348286","Ka An","","","","1","true","2025-11-24T23:56:14.228Z"
"dd507f06-f6e9-4873-8cd6-285f5985d303","Ka An Tulum","","","","1","true","2025-11-24T23:56:14.340Z"
"5d24ec35-bfe4-474a-aa60-0db17cb893ec","Kaatal Oox","","","","2","true","2025-11-24T23:56:14.451Z"
"aa648425-dd28-4809-9c71-e17055f634e0","Kalmuk","","","","1","true","2025-11-24T23:56:14.563Z"
"7612e7f7-3d17-43fa-996c-0c705ba5798b","Kamil Ha","","","","1","true","2025-11-24T23:56:14.675Z"
"c4ea8185-268d-4e5e-8035-019ede9fc5c0","Kanta","","","","2","true","2025-11-24T23:56:14.788Z"
"f0caf5d7-f14c-4c3c-b35b-394011338aa2","Kantuun","","","","3","true","2025-11-24T23:56:14.901Z"
"f1f9d0ba-c0ea-43ad-bcf3-7b8371dbb507","Kasa Mate","","","","1","true","2025-11-24T23:56:15.013Z"
"2687a53d-ba11-4c31-bf23-42570ae761db","Katia","","","","1","true","2025-11-24T23:56:15.125Z"
"a1998f0b-4c88-40a6-b504-2e311e6342e6","Katia Residence","","","","1","true","2025-11-24T23:56:15.237Z"
"bc53e9f9-e389-4e6e-92b6-b9accf6b4a36","Kayum","","","","3","true","2025-11-24T23:56:15.350Z"
"7b83b54c-9e55-4c6e-a67b-cf43a944a01e","Keystone","","","","1","true","2025-11-24T23:56:15.463Z"
"8f2c8caa-6261-4abc-97ca-c898c3c8adb6","Kiimak","","","","2","true","2025-11-24T23:56:15.576Z"
"d9448230-a142-4acf-9418-50b0523f0cda","Kiimak Tulum","","","","1","true","2025-11-24T23:56:15.688Z"
